user_id,variant,converted,order_value,recency,history,history_segment,channel,zip_code,newbie,visit
u_000038,treatment_womens,0,0.0,10,63.79,1) $0 - $100,Phone,Rural,1,0
u_000039,treatment_mens,0,0.0,7,520.43,5) $500 - $750,Web,Surburban,1,0
u_000040,treatment_mens,0,0.0,11,236.97,3) $200 - $350,Phone,Urban,1,0
u_000041,treatment_mens,0,0.0,3,99.23,1) $0 - $100,Web,Rural,0,1
u_000042,treatment_womens,0,0.0,9,204.18,3) $200 - $350,Web,Surburban,0,0
u_000043,control,0,0.0,2,492.02,4) $350 - $500,Phone,Surburban,0,0
u_000044,control,0,0.0,1,48.32,1) $0 - $100,Web,Urban,0,0
u_000045,control,0,0.0,10,29.99,1) $0 - $100,Phone,Surburban,0,0
u_000046,control,0,0.0,2,391.33,4) $350 - $500,Web,Surburban,0,0
u_000047,treatment_mens,0,0.0,1,729.7,5) $500 - $750,Web,Surburban,1,0
u_000048,treatment_womens,0,0.0,3,134.59,2) $100 - $200,Phone,Urban,1,1
u_000049,treatment_womens,0,0.0,10,61.09,1) $0 - $100,Web,Surburban,0,0
u_000050,control,0,0.0,3,203.3,3) $200 - $350,Web,Surburban,0,0
u_000051,treatment_mens,0,0.0,9,185.43,2) $100 - $200,Web,Urban,0,0
u_000052,treatment_mens,0,0.0,7,29.99,1) $0 - $100,Phone,Urban,1,0
u_000053,treatment_mens,0,0.0,9,78.62,1) $0 - $100,Web,Urban,0,0
u_000054,control,0,0.0,12,150.06,2) $100 - $200,Phone,Surburban,0,0
u_000055,control,0,0.0,6,42.66,1) $0 - $100,Web,Surburban,0,0
u_000056,treatment_womens,0,0.0,12,69.08,1) $0 - $100,Phone,Rural,0,0
u_000057,control,0,0.0,3,549.29,5) $500 - $750,Multichannel,Surburban,1,0
u_000058,treatment_mens,0,0.0,9,506.83,5) $500 - $750,Multichannel,Rural,1,0
u_000059,treatment_womens,0,0.0,3,143.93,2) $100 - $200,Phone,Surburban,0,0
u_000060,treatment_mens,0,0.0,10,115.4,2) $100 - $200,Phone,Urban,0,0
u_000061,treatment_womens,0,0.0,2,96.91,1) $0 - $100,Phone,Surburban,0,0
u_000062,treatment_mens,0,0.0,6,40.07,1) $0 - $100,Phone,Surburban,1,0
u_000063,control,0,0.0,11,417.21,4) $350 - $500,Phone,Urban,0,0
u_000064,treatment_womens,0,0.0,9,61.57,1) $0 - $100,Phone,Surburban,1,0
u_000065,treatment_womens,0,0.0,5,222.07,3) $200 - $350,Phone,Surburban,0,0
u_000066,control,0,0.0,1,259.91,3) $200 - $350,Web,Surburban,1,0
u_000067,control,0,0.0,11,53.81,1) $0 - $100,Phone,Urban,1,0
u_000068,treatment_mens,0,0.0,9,154.15,2) $100 - $200,Web,Surburban,0,0
u_000069,treatment_womens,0,0.0,10,1009.44,"7) $1,000 +",Multichannel,Surburban,1,0
u_000070,treatment_mens,0,0.0,2,278.8,3) $200 - $350,Web,Rural,0,0
u_000071,treatment_womens,0,0.0,10,31.12,1) $0 - $100,Phone,Urban,0,0
u_000072,treatment_mens,0,0.0,2,428.74,4) $350 - $500,Phone,Rural,0,0
u_000073,treatment_womens,0,0.0,7,612.28,5) $500 - $750,Phone,Surburban,1,0
u_000074,control,0,0.0,11,228.09,3) $200 - $350,Web,Surburban,1,0
u_000075,treatment_mens,0,0.0,1,640.58,5) $500 - $750,Phone,Urban,1,0
u_000076,control,0,0.0,4,194.11,2) $100 - $200,Phone,Urban,0,0
u_000077,control,0,0.0,7,84.49,1) $0 - $100,Web,Urban,1,0
u_000078,treatment_mens,0,0.0,7,235.14,3) $200 - $350,Phone,Urban,1,0
u_000079,treatment_mens,0,0.0,2,29.99,1) $0 - $100,Phone,Surburban,0,0
u_000080,treatment_mens,0,0.0,7,272.32,3) $200 - $350,Web,Surburban,1,0
u_000081,control,0,0.0,2,95.33,1) $0 - $100,Web,Surburban,0,1
u_000082,treatment_mens,0,0.0,5,494.26,4) $350 - $500,Phone,Surburban,1,0
u_000083,treatment_mens,0,0.0,2,809.07,"6) $750 - $1,000",Phone,Urban,1,0
u_000084,treatment_womens,0,0.0,1,80.42,1) $0 - $100,Phone,Urban,1,0
u_000085,treatment_womens,0,0.0,10,237.85,3) $200 - $350,Web,Urban,0,0
u_000086,treatment_womens,0,0.0,2,82.59,1) $0 - $100,Phone,Surburban,0,0
u_000087,treatment_womens,0,0.0,6,165.77,2) $100 - $200,Web,Urban,0,1
u_000088,control,0,0.0,3,101.61,2) $100 - $200,Phone,Surburban,1,0
u_000089,control,0,0.0,8,52.64,1) $0 - $100,Web,Surburban,1,0
u_000090,treatment_mens,0,0.0,6,466.29,4) $350 - $500,Multichannel,Urban,1,0
u_000091,treatment_mens,0,0.0,3,100.85,2) $100 - $200,Phone,Urban,1,0
u_000092,treatment_mens,0,0.0,3,1397.57,"7) $1,000 +",Multichannel,Surburban,1,0
u_000093,treatment_mens,0,0.0,2,770.58,"6) $750 - $1,000",Phone,Surburban,1,0
u_000094,control,0,0.0,3,1973.87,"7) $1,000 +",Multichannel,Surburban,1,0
u_000095,treatment_mens,0,0.0,3,133.51,2) $100 - $200,Web,Urban,0,0
u_000096,treatment_mens,0,0.0,8,31.52,1) $0 - $100,Web,Surburban,0,0
u_000097,treatment_womens,0,0.0,1,47.44,1) $0 - $100,Phone,Urban,0,0
u_000098,treatment_womens,0,0.0,1,106.27,2) $100 - $200,Web,Surburban,0,0
u_000099,treatment_womens,0,0.0,11,215.46,3) $200 - $350,Web,Urban,0,0
u_000100,control,0,0.0,11,189.25,2) $100 - $200,Phone,Urban,1,0
u_000101,treatment_womens,0,0.0,10,108.12,2) $100 - $200,Web,Urban,0,0
u_000102,control,0,0.0,8,66.14,1) $0 - $100,Phone,Surburban,1,0
u_000103,treatment_womens,0,0.0,8,98.56,1) $0 - $100,Web,Surburban,1,0
u_000104,treatment_womens,0,0.0,6,129.14,2) $100 - $200,Web,Surburban,0,0
u_000105,treatment_womens,0,0.0,2,493.17,4) $350 - $500,Web,Surburban,0,0
u_000106,treatment_mens,0,0.0,11,146.04,2) $100 - $200,Phone,Surburban,1,0
u_000107,control,0,0.0,12,29.99,1) $0 - $100,Web,Urban,1,0
u_000108,treatment_womens,0,0.0,2,66.6,1) $0 - $100,Phone,Urban,1,0
u_000109,treatment_womens,0,0.0,12,129.73,2) $100 - $200,Web,Surburban,0,0
u_000110,treatment_womens,0,0.0,4,54.41,1) $0 - $100,Phone,Urban,1,0
u_000111,treatment_mens,0,0.0,9,1172.42,"7) $1,000 +",Web,Surburban,1,0
u_000112,treatment_mens,0,0.0,5,244.34,3) $200 - $350,Web,Urban,1,0
u_000113,treatment_womens,0,0.0,2,287.04,3) $200 - $350,Phone,Urban,1,0
u_000114,treatment_womens,0,0.0,4,29.99,1) $0 - $100,Web,Urban,1,0
u_000115,control,0,0.0,9,151.01,2) $100 - $200,Web,Surburban,0,0
u_000116,treatment_mens,0,0.0,11,35.43,1) $0 - $100,Phone,Urban,1,0
u_000117,treatment_womens,0,0.0,5,84.17,1) $0 - $100,Web,Urban,1,0
u_000118,control,0,0.0,3,313.6,3) $200 - $350,Phone,Surburban,0,0
u_000119,treatment_mens,0,0.0,1,117.27,2) $100 - $200,Phone,Rural,0,0
u_000120,control,0,0.0,5,29.99,1) $0 - $100,Web,Surburban,0,0
u_000121,treatment_womens,0,0.0,3,1167.93,"7) $1,000 +",Web,Rural,1,0
u_000122,control,0,0.0,3,683.2,5) $500 - $750,Multichannel,Rural,1,0
u_000123,treatment_mens,0,0.0,1,110.07,2) $100 - $200,Web,Urban,0,0
u_000124,treatment_womens,0,0.0,1,102.94,2) $100 - $200,Web,Urban,0,0
u_000125,treatment_mens,0,0.0,2,29.99,1) $0 - $100,Web,Urban,0,0
u_000126,treatment_mens,0,0.0,11,160.04,2) $100 - $200,Web,Rural,0,0
u_000127,control,0,0.0,1,418.68,4) $350 - $500,Web,Surburban,0,0
u_000128,treatment_mens,0,0.0,11,316.23,3) $200 - $350,Phone,Urban,1,0
u_000129,treatment_womens,0,0.0,12,253.06,3) $200 - $350,Phone,Surburban,0,0
u_000130,control,0,0.0,9,329.96,3) $200 - $350,Phone,Surburban,1,0
u_000131,treatment_mens,0,0.0,7,185.73,2) $100 - $200,Phone,Surburban,0,0
u_000132,treatment_womens,0,0.0,11,52.08,1) $0 - $100,Web,Urban,0,0
u_000133,treatment_mens,0,0.0,1,616.73,5) $500 - $750,Web,Urban,1,0
u_000134,treatment_womens,0,0.0,9,123.39,2) $100 - $200,Phone,Urban,0,0
u_000135,control,0,0.0,3,249.71,3) $200 - $350,Phone,Surburban,0,0
u_000136,control,0,0.0,2,46.09,1) $0 - $100,Web,Urban,0,0
u_000137,treatment_mens,0,0.0,8,48.87,1) $0 - $100,Web,Surburban,1,0
u_000138,treatment_womens,0,0.0,10,77.37,1) $0 - $100,Phone,Surburban,0,0
u_000139,control,0,0.0,4,270.24,3) $200 - $350,Phone,Urban,1,0
u_000140,treatment_mens,0,0.0,9,228.8,3) $200 - $350,Multichannel,Surburban,0,1
u_000141,treatment_womens,0,0.0,3,80.18,1) $0 - $100,Phone,Urban,0,0
u_000142,treatment_womens,0,0.0,11,131.76,2) $100 - $200,Web,Surburban,1,1
u_000143,treatment_mens,0,0.0,9,162.59,2) $100 - $200,Phone,Urban,0,1
u_000144,treatment_mens,0,0.0,12,87.62,1) $0 - $100,Phone,Urban,1,0
u_000145,treatment_mens,0,0.0,3,29.99,1) $0 - $100,Phone,Surburban,0,0
u_000146,treatment_womens,0,0.0,3,29.99,1) $0 - $100,Web,Urban,0,0
u_000147,treatment_womens,0,0.0,7,59.96,1) $0 - $100,Web,Urban,1,0
u_000148,treatment_womens,0,0.0,7,78.49,1) $0 - $100,Web,Rural,0,0
u_000149,treatment_mens,0,0.0,2,29.99,1) $0 - $100,Phone,Surburban,0,0
u_000150,treatment_womens,0,0.0,7,206.8,3) $200 - $350,Phone,Surburban,0,0
u_000151,treatment_mens,0,0.0,7,229.53,3) $200 - $350,Web,Surburban,0,1
u_000152,control,0,0.0,1,439.93,4) $350 - $500,Multichannel,Rural,1,0
u_000153,treatment_womens,0,0.0,10,313.67,3) $200 - $350,Phone,Rural,1,1
u_000154,treatment_womens,0,0.0,7,29.99,1) $0 - $100,Web,Surburban,1,0
u_000155,treatment_womens,0,0.0,3,57.33,1) $0 - $100,Web,Surburban,0,1
u_000156,control,0,0.0,2,289.55,3) $200 - $350,Phone,Rural,0,1
u_000157,treatment_mens,0,0.0,5,29.99,1) $0 - $100,Phone,Surburban,1,1
u_000158,control,0,0.0,9,274.29,3) $200 - $350,Web,Surburban,0,0
u_000159,control,0,0.0,1,293.37,3) $200 - $350,Phone,Surburban,0,0
u_000160,control,0,0.0,12,29.99,1) $0 - $100,Phone,Urban,1,0
u_000161,control,0,0.0,1,407.09,4) $350 - $500,Web,Surburban,0,0
u_000162,control,0,0.0,1,142.4,2) $100 - $200,Phone,Surburban,0,0
u_000163,treatment_mens,0,0.0,1,29.99,1) $0 - $100,Web,Urban,1,0
u_000164,treatment_mens,0,0.0,12,284.54,3) $200 - $350,Web,Surburban,0,0
u_000165,control,0,0.0,2,60.2,1) $0 - $100,Web,Surburban,1,0
u_000166,treatment_mens,0,0.0,4,1089.77,"7) $1,000 +",Multichannel,Urban,1,0
u_000167,treatment_womens,0,0.0,7,29.99,1) $0 - $100,Web,Surburban,1,0
u_000168,treatment_womens,0,0.0,1,747.31,5) $500 - $750,Web,Rural,1,0
u_000169,treatment_womens,0,0.0,6,136.63,2) $100 - $200,Web,Urban,1,0
u_000170,treatment_womens,0,0.0,10,29.99,1) $0 - $100,Web,Rural,1,0
u_000171,treatment_womens,0,0.0,11,54.11,1) $0 - $100,Web,Urban,1,0
u_000172,treatment_mens,0,0.0,1,790.36,"6) $750 - $1,000",Multichannel,Urban,1,0
u_000173,control,0,0.0,4,36.49,1) $0 - $100,Web,Urban,1,0
u_000174,treatment_mens,0,0.0,12,271.89,3) $200 - $350,Web,Rural,0,0
u_000175,treatment_womens,0,0.0,5,399.46,4) $350 - $500,Web,Surburban,0,0
u_000176,treatment_mens,0,0.0,3,39.83,1) $0 - $100,Phone,Urban,1,1
u_000177,treatment_womens,0,0.0,10,153.58,2) $100 - $200,Phone,Surburban,0,0
u_000178,treatment_mens,0,0.0,5,269.99,3) $200 - $350,Phone,Surburban,0,0
u_000179,treatment_womens,0,0.0,2,29.99,1) $0 - $100,Web,Urban,1,0
u_000180,control,0,0.0,4,292.61,3) $200 - $350,Multichannel,Surburban,0,0
u_000181,treatment_womens,0,0.0,2,576.02,5) $500 - $750,Web,Surburban,1,0
u_000182,control,0,0.0,6,29.99,1) $0 - $100,Web,Surburban,0,0
u_000183,treatment_mens,0,0.0,9,116.3,2) $100 - $200,Web,Rural,1,1
u_000184,control,0,0.0,5,29.99,1) $0 - $100,Web,Surburban,0,0
u_000185,control,0,0.0,3,29.99,1) $0 - $100,Web,Urban,1,0
u_000186,treatment_womens,0,0.0,7,968.65,"6) $750 - $1,000",Web,Surburban,1,0
u_000187,treatment_mens,0,0.0,7,39.78,1) $0 - $100,Web,Surburban,0,0
u_000188,treatment_womens,0,0.0,9,311.81,3) $200 - $350,Multichannel,Urban,0,1
u_000189,treatment_mens,0,0.0,1,720.17,5) $500 - $750,Phone,Urban,1,0
u_000190,treatment_mens,0,0.0,4,69.08,1) $0 - $100,Phone,Urban,0,0
u_000191,treatment_womens,0,0.0,12,80.56,1) $0 - $100,Web,Urban,0,0
u_000192,control,0,0.0,1,301.19,3) $200 - $350,Web,Surburban,1,0
u_000193,treatment_mens,0,0.0,10,307.64,3) $200 - $350,Multichannel,Urban,0,0
u_000194,treatment_mens,0,0.0,7,481.56,4) $350 - $500,Web,Surburban,0,0
u_000195,control,0,0.0,10,29.99,1) $0 - $100,Web,Surburban,0,0
u_000196,treatment_womens,0,0.0,1,895.43,"6) $750 - $1,000",Web,Surburban,1,0
u_000197,treatment_mens,0,0.0,5,425.1,4) $350 - $500,Phone,Rural,1,0
u_000198,control,0,0.0,10,36.28,1) $0 - $100,Web,Urban,1,0
u_000199,treatment_womens,0,0.0,4,413.46,4) $350 - $500,Phone,Rural,0,0
u_000200,control,0,0.0,7,32.42,1) $0 - $100,Phone,Surburban,0,0
u_000201,treatment_womens,0,0.0,10,170.32,2) $100 - $200,Phone,Urban,1,0
u_000202,control,0,0.0,1,150.93,2) $100 - $200,Web,Surburban,0,0
u_000203,treatment_womens,0,0.0,11,223.39,3) $200 - $350,Phone,Rural,1,0
u_000204,control,0,0.0,1,506.51,5) $500 - $750,Multichannel,Urban,1,0
u_000205,treatment_mens,0,0.0,8,575.62,5) $500 - $750,Multichannel,Urban,1,0
u_000206,treatment_womens,0,0.0,3,29.99,1) $0 - $100,Web,Surburban,0,1
u_000207,control,0,0.0,2,145.76,2) $100 - $200,Web,Surburban,1,1
u_000208,treatment_womens,0,0.0,1,29.99,1) $0 - $100,Phone,Rural,1,0
u_000209,control,0,0.0,8,428.0,4) $350 - $500,Multichannel,Surburban,1,0
u_000210,control,0,0.0,6,604.39,5) $500 - $750,Phone,Urban,1,0
u_000211,control,0,0.0,8,171.88,2) $100 - $200,Phone,Surburban,0,0
u_000212,treatment_womens,0,0.0,4,370.86,4) $350 - $500,Multichannel,Surburban,0,0
u_000213,treatment_womens,0,0.0,8,138.62,2) $100 - $200,Web,Urban,1,0
u_000214,treatment_mens,0,0.0,7,29.99,1) $0 - $100,Web,Surburban,1,0
u_000215,control,0,0.0,1,209.98,3) $200 - $350,Web,Surburban,0,1
u_000216,control,0,0.0,3,166.0,2) $100 - $200,Web,Urban,0,0
u_000217,treatment_womens,1,29.99,10,88.37,1) $0 - $100,Phone,Urban,0,1
u_000218,treatment_mens,0,0.0,8,336.76,3) $200 - $350,Phone,Surburban,0,0
u_000219,treatment_womens,0,0.0,1,60.71,1) $0 - $100,Phone,Rural,1,0
u_000220,control,0,0.0,4,356.73,4) $350 - $500,Web,Surburban,0,0
u_000221,treatment_mens,0,0.0,4,52.12,1) $0 - $100,Phone,Urban,0,0
u_000222,treatment_mens,0,0.0,7,406.7,4) $350 - $500,Phone,Surburban,1,0
u_000223,control,0,0.0,6,277.81,3) $200 - $350,Multichannel,Surburban,1,0
u_000224,treatment_mens,0,0.0,1,181.98,2) $100 - $200,Web,Urban,1,0
u_000225,treatment_womens,0,0.0,2,112.13,2) $100 - $200,Web,Urban,1,0
u_000226,control,0,0.0,5,29.99,1) $0 - $100,Web,Rural,1,0
u_000227,treatment_womens,0,0.0,5,439.26,4) $350 - $500,Multichannel,Surburban,0,0
u_000228,treatment_womens,0,0.0,8,64.16,1) $0 - $100,Web,Surburban,0,0
u_000229,control,0,0.0,5,29.99,1) $0 - $100,Web,Surburban,0,1
u_000230,treatment_mens,0,0.0,6,29.99,1) $0 - $100,Web,Urban,1,0
u_000231,treatment_womens,0,0.0,2,591.95,5) $500 - $750,Multichannel,Urban,1,0
u_000232,control,0,0.0,8,130.31,2) $100 - $200,Phone,Surburban,1,0
u_000233,treatment_mens,0,0.0,3,65.26,1) $0 - $100,Web,Urban,0,1
u_000234,treatment_womens,0,0.0,10,132.46,2) $100 - $200,Phone,Urban,0,0
u_000235,treatment_womens,0,0.0,4,225.89,3) $200 - $350,Web,Rural,1,0
u_000236,control,0,0.0,2,115.56,2) $100 - $200,Web,Surburban,1,0
u_000237,control,0,0.0,8,104.94,2) $100 - $200,Phone,Urban,0,0
u_000238,treatment_mens,0,0.0,7,69.44,1) $0 - $100,Web,Rural,0,1
u_000239,treatment_womens,0,0.0,10,47.47,1) $0 - $100,Phone,Surburban,0,0
u_000240,treatment_womens,0,0.0,1,215.08,3) $200 - $350,Web,Surburban,0,1
u_000241,control,0,0.0,2,224.89,3) $200 - $350,Multichannel,Urban,0,0
u_000242,treatment_womens,0,0.0,9,201.75,3) $200 - $350,Phone,Surburban,0,0
u_000243,treatment_mens,0,0.0,5,354.03,4) $350 - $500,Web,Urban,0,0
u_000244,control,0,0.0,10,151.43,2) $100 - $200,Web,Urban,0,0
u_000245,treatment_mens,0,0.0,11,120.14,2) $100 - $200,Web,Urban,0,0
u_000246,treatment_womens,0,0.0,5,159.41,2) $100 - $200,Phone,Surburban,1,1
u_000247,control,0,0.0,5,290.86,3) $200 - $350,Web,Urban,1,0
u_000248,treatment_womens,0,0.0,4,87.2,1) $0 - $100,Phone,Surburban,1,1
u_000249,treatment_mens,0,0.0,11,81.06,1) $0 - $100,Web,Urban,0,0
u_000250,treatment_mens,0,0.0,10,55.11,1) $0 - $100,Web,Urban,1,0
u_000251,treatment_mens,0,0.0,1,513.83,5) $500 - $750,Multichannel,Surburban,1,0
u_000252,control,0,0.0,4,770.38,"6) $750 - $1,000",Multichannel,Rural,1,0
u_000253,treatment_mens,0,0.0,1,33.5,1) $0 - $100,Web,Surburban,0,0
u_000254,treatment_mens,0,0.0,2,56.25,1) $0 - $100,Phone,Surburban,1,0
u_000255,control,0,0.0,2,1093.92,"7) $1,000 +",Web,Surburban,1,0
u_000256,control,0,0.0,1,752.8,"6) $750 - $1,000",Phone,Urban,1,0
u_000257,control,0,0.0,2,199.95,2) $100 - $200,Phone,Surburban,1,0
u_000258,control,0,0.0,9,239.91,3) $200 - $350,Phone,Rural,0,0
u_000259,control,0,0.0,8,43.16,1) $0 - $100,Phone,Urban,1,0
u_000260,control,0,0.0,2,418.81,4) $350 - $500,Multichannel,Surburban,0,0
u_000261,treatment_womens,0,0.0,9,318.52,3) $200 - $350,Web,Urban,0,0
u_000262,treatment_womens,0,0.0,1,109.26,2) $100 - $200,Web,Surburban,1,1
u_000263,treatment_mens,0,0.0,3,67.4,1) $0 - $100,Web,Surburban,0,0
u_000264,treatment_womens,0,0.0,9,135.02,2) $100 - $200,Web,Surburban,1,0
u_000265,treatment_mens,0,0.0,10,54.25,1) $0 - $100,Web,Surburban,0,0
u_000266,treatment_womens,0,0.0,3,55.34,1) $0 - $100,Phone,Surburban,1,0
u_000267,treatment_womens,1,264.66,4,297.8,3) $200 - $350,Phone,Urban,0,1
u_000268,treatment_womens,0,0.0,4,146.49,2) $100 - $200,Phone,Surburban,0,0
u_000269,treatment_mens,0,0.0,7,329.26,3) $200 - $350,Web,Urban,0,0
u_000270,treatment_mens,0,0.0,1,29.99,1) $0 - $100,Phone,Rural,1,0
u_000271,treatment_womens,0,0.0,4,249.61,3) $200 - $350,Phone,Urban,1,0
u_000272,treatment_mens,0,0.0,5,39.52,1) $0 - $100,Phone,Surburban,1,0
u_000273,control,0,0.0,1,307.58,3) $200 - $350,Multichannel,Surburban,0,0
u_000274,treatment_mens,0,0.0,6,92.32,1) $0 - $100,Phone,Urban,0,0
u_000275,treatment_womens,0,0.0,6,464.17,4) $350 - $500,Multichannel,Surburban,0,0
u_000276,treatment_womens,0,0.0,6,29.99,1) $0 - $100,Web,Surburban,1,0
u_000277,treatment_womens,0,0.0,2,435.33,4) $350 - $500,Web,Surburban,0,0
u_000278,treatment_mens,0,0.0,10,375.9,4) $350 - $500,Web,Urban,0,0
u_000279,treatment_mens,0,0.0,9,29.99,1) $0 - $100,Web,Urban,0,0
u_000280,treatment_mens,0,0.0,9,220.51,3) $200 - $350,Multichannel,Urban,0,0
u_000281,treatment_womens,0,0.0,5,180.28,2) $100 - $200,Phone,Surburban,0,0
u_000282,treatment_mens,0,0.0,6,78.69,1) $0 - $100,Phone,Surburban,0,0
u_000283,treatment_womens,0,0.0,2,350.48,4) $350 - $500,Web,Urban,1,0
u_000284,control,0,0.0,3,376.14,4) $350 - $500,Phone,Surburban,0,0
u_000285,treatment_mens,0,0.0,1,179.63,2) $100 - $200,Phone,Surburban,0,1
u_000286,treatment_womens,0,0.0,6,164.51,2) $100 - $200,Phone,Surburban,0,1
u_000287,treatment_mens,0,0.0,8,59.76,1) $0 - $100,Web,Urban,1,0
u_000288,treatment_womens,0,0.0,11,29.99,1) $0 - $100,Web,Surburban,0,0
u_000289,treatment_womens,0,0.0,2,407.64,4) $350 - $500,Web,Urban,1,0
u_000290,treatment_womens,0,0.0,1,143.0,2) $100 - $200,Phone,Urban,0,0
u_000291,treatment_mens,0,0.0,4,320.17,3) $200 - $350,Phone,Urban,1,0
u_000292,treatment_mens,0,0.0,1,103.07,2) $100 - $200,Web,Surburban,0,0
u_000293,control,0,0.0,10,35.84,1) $0 - $100,Phone,Urban,1,0
u_000294,treatment_womens,0,0.0,3,190.66,2) $100 - $200,Web,Surburban,1,0
u_000295,treatment_mens,0,0.0,2,90.91,1) $0 - $100,Web,Surburban,0,0
u_000296,control,0,0.0,5,215.03,3) $200 - $350,Web,Urban,1,0
u_000297,control,0,0.0,1,856.4,"6) $750 - $1,000",Web,Urban,1,0
u_000298,treatment_mens,0,0.0,10,139.83,2) $100 - $200,Phone,Urban,1,0
u_000299,control,0,0.0,10,245.09,3) $200 - $350,Multichannel,Urban,0,0
u_000300,control,0,0.0,6,127.2,2) $100 - $200,Phone,Surburban,0,0
u_000301,treatment_mens,0,0.0,1,470.65,4) $350 - $500,Phone,Urban,0,0
u_000302,treatment_mens,0,0.0,1,59.13,1) $0 - $100,Web,Urban,1,0
u_000303,control,0,0.0,3,327.1,3) $200 - $350,Web,Surburban,1,0
u_000304,treatment_mens,0,0.0,1,399.72,4) $350 - $500,Phone,Surburban,0,1
u_000305,control,0,0.0,3,29.99,1) $0 - $100,Phone,Urban,0,0
u_000306,control,0,0.0,6,398.03,4) $350 - $500,Phone,Surburban,0,0
u_000307,treatment_mens,0,0.0,4,134.24,2) $100 - $200,Web,Urban,0,1
u_000308,treatment_mens,0,0.0,10,290.55,3) $200 - $350,Web,Surburban,0,0
u_000309,control,0,0.0,7,29.99,1) $0 - $100,Web,Surburban,0,0
u_000310,treatment_mens,0,0.0,4,87.69,1) $0 - $100,Web,Surburban,0,0
u_000311,treatment_womens,0,0.0,10,335.77,3) $200 - $350,Multichannel,Rural,0,0
u_000312,control,0,0.0,12,465.37,4) $350 - $500,Multichannel,Rural,1,0
u_000313,treatment_womens,0,0.0,12,75.26,1) $0 - $100,Phone,Urban,1,0
u_000314,treatment_womens,0,0.0,10,327.18,3) $200 - $350,Phone,Urban,0,0
u_000315,control,0,0.0,1,188.89,2) $100 - $200,Web,Surburban,1,0
u_000316,treatment_mens,0,0.0,4,49.8,1) $0 - $100,Web,Urban,1,0
