user_id,variant,order_value,order_value_pre
u_00433,control,39.65,50.2
u_00434,control,37.22,16.03
u_00435,control,30.43,37.48
u_00436,control,21.61,43.98
u_00437,control,23.11,20.39
u_00438,control,27.19,23.86
u_00439,control,38.58,48.21
u_00440,control,79.15,50.05
u_00441,control,5.26,5.16
u_00442,control,42.15,54.6
u_00443,control,39.99,40.53
u_00444,control,55.07,64.51
u_00445,control,26.79,22.33
u_00446,control,16.74,23.07
u_00447,control,76.65,84.38
u_00448,control,6.1,1.0
u_00449,control,33.49,29.14
u_00450,control,25.92,34.88
u_00451,control,53.36,49.11
u_00452,control,24.15,37.94
u_00453,control,55.88,46.88
u_00454,control,44.3,63.51
u_00455,control,30.31,38.6
u_00456,control,24.2,23.96
u_00457,control,31.26,40.6
u_00458,control,42.31,44.0
u_00459,control,21.06,41.2
u_00460,control,63.61,60.77
u_00461,control,64.55,72.46
u_00462,control,78.79,93.15
u_00463,control,80.21,92.1
u_00464,control,45.03,43.36
u_00465,control,48.52,58.15
u_00466,control,39.49,45.16
u_00467,control,28.75,41.56
u_00468,control,29.73,48.79
u_00469,control,33.91,43.41
u_00470,control,87.03,76.84
u_00471,control,55.75,65.28
u_00472,control,15.61,35.47
u_00473,control,64.82,69.27
u_00474,control,42.44,45.42
u_00475,control,49.18,67.97
u_00476,control,54.67,57.39
u_00477,control,49.88,54.7
u_00478,control,70.05,50.82
u_00479,control,25.09,17.74
u_00480,control,66.39,55.74
u_00481,control,34.95,24.27
u_00482,control,30.41,34.82
u_00483,control,48.74,46.08
u_00484,control,89.8,89.59
u_00485,control,37.8,31.98
u_00486,control,46.42,53.5
u_00487,control,40.48,46.14
u_00488,control,69.86,66.63
u_00489,control,51.74,43.86
u_00490,control,37.86,49.95
u_00491,control,39.5,14.91
u_00492,control,73.09,79.96
u_00493,control,7.56,19.98
u_00494,control,49.51,76.28
u_00495,control,36.28,61.14
u_00496,control,58.4,58.86
u_00497,control,10.67,20.97
u_00498,control,38.76,38.72
u_00499,control,76.26,59.16
u_00500,control,94.08,85.54
u_00501,control,39.38,34.55
u_00502,control,53.65,63.7
u_00503,control,43.97,30.23
u_00504,control,63.24,38.3
u_00505,control,41.37,33.17
u_00506,control,41.95,42.35
u_00507,control,56.37,55.97
u_00508,control,63.42,61.03
u_00509,control,22.33,35.08
u_00510,control,30.12,38.76
u_00511,control,28.33,19.61
u_00512,control,37.58,44.66
u_00513,control,29.04,36.48
u_00514,control,55.24,46.14
u_00515,control,44.76,47.95
u_00516,control,16.34,18.59
u_00517,control,43.78,40.54
u_00518,control,62.7,68.56
u_00519,control,34.35,33.13
u_00520,control,19.47,33.89
u_00521,control,76.32,54.99
u_00522,control,63.24,64.9
u_00523,control,40.31,32.45
u_00524,control,70.65,65.69
u_00525,control,20.22,46.54
u_00526,control,16.6,42.77
u_00527,control,19.45,37.08
u_00528,control,11.42,43.59
u_00529,control,61.17,52.63
u_00530,control,19.25,20.64
u_00531,control,55.0,55.32
u_00532,control,44.5,42.3
u_00533,control,39.12,41.42
u_00534,control,34.06,29.14
u_00535,control,39.64,33.98
u_00536,control,26.17,18.46
u_00537,control,77.8,80.77
u_00538,control,52.61,42.94
u_00539,control,36.6,37.84
u_00540,control,22.54,10.76
u_00541,control,59.16,70.16
u_00542,control,36.93,22.67
u_00543,control,50.65,42.78
u_00544,control,55.51,58.02
u_00545,control,43.36,48.34
u_00546,control,14.46,27.58
u_00547,control,57.83,66.8
u_00548,control,35.38,40.25
u_00549,control,70.02,69.78
u_00550,control,28.73,32.26
u_00551,control,50.07,51.27
u_00552,control,55.74,63.73
u_00553,control,75.12,82.16
u_00554,control,61.26,69.84
u_00555,control,46.18,38.29
u_00556,control,64.01,59.82
u_00557,control,15.81,25.7
u_00558,control,58.05,75.49
u_00559,control,21.9,50.62
u_00560,control,37.3,27.1
u_00561,control,58.72,57.13
u_00562,control,35.27,26.84
u_00563,control,30.12,15.84
u_00564,control,62.89,42.2
u_00565,control,42.03,36.25
u_00566,control,31.96,25.61
u_00567,control,36.76,46.98
u_00568,control,11.27,16.69
u_00569,control,33.16,46.66
u_00570,control,79.53,80.53
u_00571,control,88.63,80.43
u_00572,control,53.07,44.62
u_00573,control,30.91,57.59
u_00574,control,2.78,1.0
u_00575,control,28.95,25.01
u_00576,control,66.63,61.88
u_00577,control,44.89,27.06
u_00578,control,93.79,70.1
u_00579,control,66.31,69.03
u_00580,control,28.99,27.06
u_00581,control,51.3,47.11
u_00582,control,81.81,92.29
u_00583,control,17.67,16.91
u_00584,control,32.85,32.54
u_00585,control,1.0,16.33
u_00586,control,28.02,26.98
u_00587,control,98.28,85.82
u_00588,control,46.33,39.86
u_00589,control,13.15,9.5
u_00590,control,14.79,34.92
u_00591,control,14.46,21.25
u_00592,control,30.78,56.86
u_00593,control,44.62,46.22
u_00594,control,71.79,63.73
u_00595,control,58.22,50.26
u_00596,control,26.73,13.7
u_00597,control,37.21,62.96
u_00598,control,38.9,52.74
u_00599,control,67.64,62.26
u_00600,control,71.23,59.92
u_00601,control,111.55,105.56
u_00602,control,31.1,30.64
u_00603,control,36.22,9.81
u_00604,control,30.8,20.92
u_00605,control,52.37,45.61
u_00606,control,21.9,14.66
u_00607,control,18.08,23.15
u_00608,control,57.22,52.49
u_00609,control,21.65,37.02
u_00610,control,34.14,28.42
u_00611,control,20.13,16.4
u_00612,control,18.48,16.66
u_00613,control,81.53,84.29
u_00614,control,81.26,75.64
u_00615,control,68.62,64.84
u_00616,control,51.87,60.24
u_00617,control,26.39,45.78
u_00618,control,62.13,64.62
u_00619,control,22.68,32.63
u_00620,control,42.76,41.13
u_00621,control,27.52,23.99
u_00622,control,71.21,56.57
u_00623,control,86.62,89.01
u_00624,control,20.99,16.71
u_00625,control,19.23,43.02
u_00626,control,45.24,52.65
u_00627,control,19.42,11.72
u_00628,control,23.7,22.15
u_00629,control,89.73,90.65
u_00630,control,58.96,57.07
u_00631,control,36.93,20.33
u_00632,control,52.02,41.96
u_00633,control,41.7,33.36
u_00634,control,58.84,51.27
u_00635,control,33.15,29.48
u_00636,control,30.78,21.4
u_00637,control,66.34,52.38
u_00638,control,65.34,58.61
u_00639,control,98.97,86.92
u_00640,control,63.39,66.61
u_00641,control,60.1,49.2
u_00642,control,97.67,93.36
u_00643,control,41.01,38.92
u_00644,control,1.0,19.43
u_00645,control,67.4,60.22
u_00646,control,45.59,48.89
u_00647,control,45.16,34.75
u_00648,control,66.22,77.14
u_00649,control,38.44,37.8
u_00650,control,10.19,5.31
u_00651,control,73.91,65.51
u_00652,control,8.7,34.56
u_00653,control,26.86,23.33
u_00654,control,21.0,7.11
u_00655,control,78.66,58.46
u_00656,control,13.93,10.78
u_00657,control,92.32,75.98
u_00658,control,37.84,32.86
u_00659,control,65.22,54.51
u_00660,control,58.19,54.57
u_00661,control,101.09,99.67
u_00662,control,46.96,50.65
u_00663,control,73.29,79.0
u_00664,control,23.43,38.32
u_00665,control,21.2,22.58
u_00666,control,70.28,74.61
u_00667,control,13.77,14.73
u_00668,control,58.81,58.81
u_00669,control,27.68,15.28
u_00670,control,56.75,45.76
u_00671,control,93.01,102.21
u_00672,control,50.61,54.62
u_00673,control,46.9,40.04
u_00674,control,43.58,46.86
u_00675,control,37.35,19.68
u_00676,control,134.21,127.83
u_00677,control,42.18,25.43
u_00678,control,47.44,34.84
u_00679,control,63.9,49.48
u_00680,control,70.63,55.99
u_00681,control,36.93,66.6
u_00682,control,29.63,30.12
u_00683,control,45.21,36.69
u_00684,control,65.89,77.17
u_00685,control,76.85,52.44
u_00686,control,52.93,68.98
u_00687,control,83.19,101.69
u_00688,control,67.74,48.29
u_00689,control,61.75,65.15
u_00690,control,12.08,10.71
u_00691,control,55.09,50.8
u_00692,control,42.0,44.85
u_00693,control,94.92,93.78
u_00694,control,10.76,4.63
u_00695,control,49.12,33.04
u_00696,control,37.17,44.82
u_00697,control,9.86,27.58
u_00698,control,26.1,16.66
u_00699,control,110.62,74.26
u_00700,control,65.63,71.44
u_00701,control,97.73,97.03
u_00702,control,43.33,38.84
u_00703,control,24.73,15.72
u_00704,control,26.02,41.35
u_00705,control,44.6,47.82
u_00706,control,60.63,66.61
u_00707,control,60.01,48.59
u_00708,control,57.07,45.8
u_00709,control,126.85,114.5
u_00710,control,73.76,77.65
u_00711,control,13.52,13.4
u_00712,control,73.65,77.62
u_00713,control,28.3,35.96
u_00714,control,36.95,51.31
u_00715,control,94.18,99.25
u_00716,control,30.84,24.22
u_00717,control,77.08,72.25
u_00718,control,68.41,53.59
u_00719,control,45.2,30.91
u_00720,control,11.4,12.12
u_00721,control,45.3,33.41
u_00722,control,1.53,2.72
u_00723,control,82.76,71.38
u_00724,control,52.32,50.22
u_00725,control,99.78,93.63
u_00726,control,46.76,44.72
u_00727,control,100.11,102.73
u_00728,control,36.47,21.13
u_00729,control,56.53,69.71
u_00730,control,39.87,27.4
u_00731,control,43.52,41.42
u_00732,control,48.97,42.2
u_00733,control,51.08,49.98
u_00734,control,23.75,35.77
u_00735,control,52.75,67.43
u_00736,control,31.47,54.46
u_00737,control,26.3,16.32
u_00738,control,4.72,16.07
u_00739,control,73.5,68.99
u_00740,control,15.0,1.88
u_00741,control,47.08,31.19
u_00742,control,4.1,14.79
u_00743,control,95.25,97.99
u_00744,control,61.93,42.96
u_00745,control,52.44,51.65
u_00746,control,38.65,40.03
u_00747,control,12.82,28.37
u_00748,control,31.84,43.55
u_00749,control,49.96,32.31
u_00750,control,19.39,27.36
u_00751,control,9.13,4.66
u_00752,control,21.24,31.39
u_00753,control,31.9,20.34
u_00754,control,21.05,45.8
u_00755,control,70.72,38.22
u_00756,control,49.78,63.83
u_00757,control,43.71,42.21
u_00758,control,37.36,44.46
u_00759,control,58.17,46.88
u_00760,control,11.14,16.98
u_00761,control,37.1,54.42
u_00762,control,104.16,95.84
u_00763,control,35.85,47.88
u_00764,control,69.78,68.99
u_00765,control,47.95,32.17
u_00766,control,74.28,48.81
u_00767,control,60.51,63.28
u_00768,control,12.69,16.07
u_00769,control,27.14,37.27
u_00770,control,73.8,93.05
u_00771,control,73.47,68.9
u_00772,control,28.55,39.18
u_00773,control,32.36,44.07
u_00774,control,27.98,27.88
u_00775,control,57.29,50.77
u_00776,control,27.28,34.93
u_00777,control,48.28,34.97
u_00778,control,36.87,24.7
u_00779,control,69.37,69.01
u_00780,control,30.9,40.22
u_00781,control,60.89,51.21
u_00782,control,16.13,18.93
u_00783,control,44.87,21.29
u_00784,control,64.01,61.71
u_00785,control,20.78,29.05
u_00786,control,47.39,46.21
u_00787,control,19.04,40.6
u_00788,control,19.34,18.5
u_00789,control,80.94,83.18
u_00790,control,59.83,49.6
u_00791,control,30.82,35.52
u_00792,control,27.39,44.72
u_00793,control,1.0,15.89
u_00794,control,72.72,83.56
u_00795,control,19.27,23.15
u_00796,control,27.95,23.05
u_00797,control,38.74,45.84
u_00798,control,51.44,55.48
u_00799,control,53.88,47.6
u_00800,control,22.01,14.4
u_00801,control,77.43,84.16
u_00802,control,9.57,12.59
u_00803,control,88.15,82.41
u_00804,control,35.51,38.77
u_00805,control,21.12,48.21
u_00806,control,37.48,47.69
u_00807,control,44.14,45.58
u_00808,control,59.57,48.16
u_00809,control,9.3,26.78
u_00810,control,43.83,25.81
u_00811,control,46.36,36.24
u_00812,control,78.78,62.82
u_00813,control,77.05,70.31
u_00814,control,99.62,79.96
u_00815,control,78.31,68.72
u_00816,control,31.07,33.49
u_00817,control,49.5,40.61
u_00818,control,59.32,76.77
u_00819,control,56.09,64.6
u_00820,control,38.87,40.0
u_00821,control,55.02,71.97
u_00822,control,38.88,31.45
u_00823,control,18.01,20.92
u_00824,control,45.97,28.79
u_00825,control,30.06,52.18
u_00826,control,33.27,29.54
u_00827,control,46.78,65.91
u_00828,control,41.88,37.8
u_00829,control,38.52,58.44
u_00830,control,66.42,69.0
u_00831,control,113.04,121.18
u_00832,control,38.61,50.42
u_00833,control,84.61,71.37
u_00834,control,51.17,55.57
u_00835,control,37.64,47.68
u_00836,control,36.6,44.78
u_00837,control,35.17,43.48
u_00838,control,25.42,39.38
u_00839,control,71.79,62.25
u_00840,control,33.82,31.32
u_00841,control,21.27,18.09
u_00842,control,37.58,28.44
u_00843,control,30.79,30.44
u_00844,control,30.57,33.83
u_00845,control,32.25,35.9
u_00846,control,29.3,31.79
u_00847,control,29.96,32.48
u_00848,control,26.11,51.64
u_00849,control,54.83,62.59
u_00850,control,123.28,126.41
u_00851,control,73.36,58.22
u_00852,control,22.84,17.77
u_00853,control,8.28,1.0
u_00854,control,92.42,100.61
u_00855,control,47.14,39.22
u_00856,control,37.56,38.45
u_00857,control,16.45,11.33
u_00858,control,37.85,48.81
u_00859,control,45.44,37.87
u_00860,control,29.5,36.14
u_00861,control,8.65,19.97
u_00862,control,13.85,21.84
u_00863,control,101.57,100.47
u_00864,control,46.87,57.35
u_00865,control,37.4,32.1
u_00866,control,42.99,59.06
u_00867,control,41.28,36.97
u_00868,control,4.72,24.43
u_00869,control,72.86,68.06
u_00870,control,34.22,37.16
u_00871,control,52.59,51.67
u_00872,control,97.96,85.03
u_00873,control,18.71,1.0
u_00874,control,20.31,3.99
u_00875,control,51.48,61.79
u_00876,control,70.66,77.71
u_00877,control,28.73,46.35
u_00878,control,27.73,32.1
u_00879,control,64.6,49.75
u_00880,control,123.36,116.03
u_00881,control,42.87,45.73
u_00882,control,15.21,20.39
u_00883,control,27.56,37.09
u_00884,control,34.63,58.68
u_00885,control,68.04,70.15
u_00886,control,146.49,145.19
u_00887,control,22.12,26.87
u_00888,control,46.32,58.05
u_00889,control,100.11,96.61
u_00890,control,56.28,48.87
u_00891,control,49.96,52.87
u_00892,control,71.06,82.2
u_00893,control,56.45,47.4
u_00894,control,28.34,13.51
u_00895,control,68.54,86.87
u_00896,control,10.32,15.78
u_00897,control,73.55,80.97
u_00898,control,49.26,42.21
u_00899,control,33.54,36.35
u_00900,control,43.54,27.23
u_00901,control,26.34,46.76
u_00902,control,26.25,27.58
u_00903,control,38.46,51.08
u_00904,control,28.06,35.25
u_00905,control,25.04,13.95
u_00906,control,60.45,30.34
u_00907,control,14.32,10.6
u_00908,control,38.73,50.2
u_00909,control,32.44,31.19
u_00910,control,72.88,67.3
u_00911,control,25.77,39.57
u_00912,control,59.57,63.14
u_00913,control,72.01,52.29
u_00914,control,53.0,61.08
u_00915,control,84.43,98.37
u_00916,control,39.1,30.59
u_00917,control,47.6,42.34
u_00918,control,49.23,43.18
u_00919,control,46.67,53.58
u_00920,control,43.18,37.58
u_00921,control,42.07,19.58
u_00922,control,43.24,44.99
u_00923,control,17.45,8.15
u_00924,control,24.04,3.55
u_00925,control,18.59,11.3
u_00926,control,50.42,52.48
u_00927,control,51.53,60.39
u_00928,control,69.93,55.46
u_00929,control,32.83,33.67
