user_id,variant,converted,error_rate
u_00170,control,0,0.0196
u_00171,control,0,0.0247
u_00172,control,0,0.0026
u_00173,control,0,0.01
u_00174,control,0,0.006
u_00175,control,0,0.0378
u_00176,control,0,0.0204
u_00177,control,0,0.0178
u_00178,control,0,0.0074
u_00179,control,0,0.0233
u_00180,control,0,0.001
u_00181,control,0,0.047
u_00182,control,0,0.0279
u_00183,control,0,0.0135
u_00184,control,0,0.0142
u_00185,control,0,0.0174
u_00186,control,0,0.0264
u_00187,control,0,0.0263
u_00188,control,0,0.0255
u_00189,control,0,0.012
u_00190,control,0,0.0549
u_00191,control,0,0.012
u_00192,control,0,0.0149
u_00193,control,0,0.0102
u_00194,control,0,0.0254
u_00195,control,0,0.0338
u_00196,control,0,0.001
u_00197,control,0,0.0096
u_00198,control,0,0.0335
u_00199,control,0,0.0095
u_00200,control,0,0.028
u_00201,control,0,0.0173
u_00202,control,0,0.0095
u_00203,control,0,0.0076
u_00204,control,0,0.0197
u_00205,control,0,0.0106
u_00206,control,0,0.0214
u_00207,control,1,0.0117
u_00208,control,0,0.064
u_00209,control,0,0.0172
u_00210,control,0,0.0016
u_00211,control,0,0.0075
u_00212,control,0,0.0227
u_00213,control,0,0.0176
u_00214,control,0,0.0032
u_00215,control,0,0.0044
u_00216,control,0,0.0156
u_00217,control,0,0.0217
u_00218,control,0,0.0293
u_00219,control,0,0.0294
u_00220,control,0,0.0089
u_00221,control,0,0.0261
u_00222,control,0,0.0312
u_00223,control,0,0.0461
u_00224,control,0,0.0011
u_00225,control,0,0.0161
u_00226,control,0,0.0376
u_00227,control,0,0.0121
u_00228,control,0,0.0105
u_00229,control,0,0.018
u_00230,control,0,0.0068
u_00231,control,0,0.0098
u_00232,control,0,0.0042
u_00233,control,0,0.004
u_00234,control,0,0.0196
u_00235,control,0,0.0376
u_00236,control,0,0.0169
u_00237,control,0,0.039
u_00238,control,0,0.0152
u_00239,control,0,0.0101
u_00240,control,0,0.042
u_00241,control,0,0.0316
u_00242,control,0,0.0485
u_00243,control,0,0.0114
u_00244,control,0,0.0011
u_00245,control,0,0.0268
u_00246,control,0,0.0224
u_00247,control,0,0.0097
u_00248,control,0,0.0157
u_00249,control,0,0.0107
u_00250,control,0,0.0055
u_00251,control,0,0.0318
u_00252,control,0,0.0192
u_00253,control,0,0.0244
u_00254,control,0,0.0298
u_00255,control,0,0.0092
u_00256,control,0,0.0226
u_00257,control,0,0.0155
u_00258,control,0,0.0304
u_00259,control,0,0.0292
u_00260,control,0,0.0069
u_00261,control,0,0.0051
u_00262,control,0,0.021
u_00263,control,0,0.0385
u_00264,control,0,0.0207
u_00265,control,0,0.0326
u_00266,control,0,0.0032
u_00267,control,0,0.0035
u_00268,control,0,0.0025
u_00269,control,0,0.0159
u_00270,control,0,0.0205
u_00271,control,0,0.01
u_00272,control,0,0.0241
u_00273,control,0,0.0351
u_00274,control,0,0.0251
u_00275,control,0,0.0163
u_00276,control,0,0.0004
u_00277,control,0,0.0448
u_00278,control,0,0.0196
u_00279,control,0,0.0462
u_00280,control,0,0.0064
u_00281,control,0,0.004
u_00282,control,0,0.0357
u_00283,control,0,0.0253
u_00284,control,0,0.0251
u_00285,control,0,0.0156
u_00286,control,0,0.0077
u_00287,control,0,0.0315
u_00288,control,0,0.0121
u_00289,control,0,0.0086
u_00290,control,0,0.0154
u_00291,control,0,0.0097
u_00292,control,0,0.0079
u_00293,control,0,0.0202
u_00294,control,0,0.0031
u_00295,control,1,0.0206
u_00296,control,0,0.0085
u_00297,control,0,0.0257
u_00298,control,0,0.0426
u_00299,control,0,0.038
u_00300,control,0,0.0172
u_00301,control,0,0.0151
u_00302,control,0,0.005
u_00303,control,0,0.0368
u_00304,control,0,0.0121
u_00305,control,0,0.0208
u_00306,control,0,0.0218
u_00307,control,0,0.0261
u_00308,control,0,0.0468
u_00309,control,0,0.0271
u_00310,control,0,0.0069
u_00311,control,0,0.0165
u_00312,control,0,0.0179
u_00313,control,0,0.0086
u_00314,control,0,0.0186
u_00315,control,0,0.0107
u_00316,control,0,0.0026
u_00317,control,0,0.006
u_00318,control,0,0.0274
u_00319,control,0,0.0119
u_00320,control,1,0.0152
u_00321,control,0,0.0094
u_00322,control,0,0.0049
u_00323,control,0,0.0146
u_00324,control,0,0.011
u_00325,control,0,0.0254
u_00326,control,0,0.0168
u_00327,control,1,0.0216
u_00328,control,0,0.0113
u_00329,control,0,0.0157
u_00330,control,0,0.0238
u_00331,control,0,0.0262
u_00332,control,0,0.0066
u_00333,control,0,0.0207
u_00334,control,0,0.045
u_00335,control,0,0.0507
u_00336,control,0,0.0042
u_00337,control,0,0.0132
u_00338,control,0,0.025
u_00339,control,0,0.0157
u_00340,control,0,0.0183
u_00341,control,0,0.0398
u_00342,control,0,0.0202
u_00343,control,0,0.0102
u_00344,control,0,0.0212
u_00345,control,1,0.023
u_00346,control,0,0.0028
u_00347,control,0,0.0179
u_00348,control,0,0.02
u_00349,control,0,0.0163
u_00350,control,0,0.022
u_00351,control,0,0.0574
u_00352,control,0,0.0252
u_00353,control,0,0.0018
u_00354,control,0,0.0215
u_00355,control,0,0.0247
u_00356,control,0,0.0168
u_00357,control,0,0.0158
u_00358,control,0,0.0112
u_00359,control,0,0.0234
u_00360,control,0,0.0126
u_00361,control,0,0.0105
u_00362,control,0,0.0295
u_00363,control,0,0.01
u_00364,control,0,0.0402
u_00365,control,0,0.015
u_00366,control,0,0.0332
u_00367,control,0,0.0283
u_00368,control,0,0.0454
u_00369,control,0,0.0095
u_00370,control,0,0.019
u_00371,control,0,0.0399
u_00372,control,1,0.0235
u_00373,control,0,0.0378
u_00374,control,0,0.0096
u_00375,control,1,0.044
u_00376,control,0,0.0295
u_00377,control,0,0.0253
u_00378,control,0,0.0076
u_00379,control,0,0.0903
u_00380,control,0,0.0229
u_00381,control,0,0.0121
u_00382,control,0,0.0592
u_00383,control,0,0.0209
u_00384,control,0,0.0831
u_00385,control,0,0.0268
u_00386,control,0,0.0303
u_00387,control,0,0.019
u_00388,control,0,0.0152
u_00389,control,0,0.0104
u_00390,control,0,0.0502
u_00391,control,0,0.0336
u_00392,control,0,0.0092
u_00393,control,0,0.0135
u_00394,control,0,0.0081
u_00395,control,0,0.022
u_00396,control,0,0.0186
u_00397,control,0,0.0276
u_00398,control,0,0.0067
u_00399,control,0,0.0267
u_00400,control,0,0.0528
u_00401,control,0,0.0205
u_00402,control,0,0.0269
u_00403,control,0,0.0206
u_00404,control,0,0.0266
u_00405,control,1,0.0122
u_00406,control,0,0.0227
u_00407,control,0,0.0283
u_00408,control,0,0.0083
u_00409,control,0,0.0471
u_00410,control,0,0.0122
u_00411,control,0,0.0093
u_00412,control,0,0.0283
u_00413,control,0,0.0135
u_00414,control,0,0.0037
u_00415,control,0,0.0252
u_00416,control,0,0.0142
u_00417,control,0,0.0091
u_00418,control,0,0.0107
u_00419,control,0,0.0077
u_00420,control,0,0.047
u_00421,control,0,0.007
u_00422,control,0,0.0292
u_00423,control,0,0.0533
u_00424,control,0,0.0198
u_00425,control,0,0.0094
u_00426,control,0,0.0011
u_00427,control,0,0.0295
u_00428,control,0,0.0103
u_00429,control,0,0.01
u_00430,control,0,0.0039
u_00431,control,0,0.0149
u_00432,control,0,0.0247
u_00433,control,0,0.0074
u_00434,control,0,0.0109
u_00435,control,0,0.0095
u_00436,control,0,0.0069
u_00437,control,0,0.0265
u_00438,control,0,0.011
u_00439,control,0,0.0087
u_00440,control,0,0.0231
u_00441,control,0,0.0605
u_00442,control,0,0.0137
u_00443,control,0,0.0317
u_00444,control,0,0.0408
u_00445,control,0,0.0235
u_00446,control,0,0.0166
u_00447,control,0,0.0187
u_00448,control,0,0.0076
u_00449,control,0,0.0073
u_00450,control,0,0.0518
u_00451,control,0,0.018
u_00452,control,0,0.0095
u_00453,control,0,0.0202
u_00454,control,0,0.0093
u_00455,control,0,0.044
u_00456,control,0,0.0297
u_00457,control,0,0.019
u_00458,control,0,0.008
u_00459,control,0,0.0168
u_00460,control,0,0.0134
u_00461,control,0,0.04
u_00462,control,0,0.0091
u_00463,control,0,0.0114
u_00464,control,0,0.0149
u_00465,control,0,0.0077
u_00466,control,0,0.0028
u_00467,control,0,0.001
u_00468,control,0,0.0063
u_00469,control,0,0.0154
u_00470,control,0,0.0119
u_00471,control,0,0.0111
u_00472,control,0,0.01
u_00473,control,0,0.0058
u_00474,control,0,0.0131
u_00475,control,0,0.0476
u_00476,control,0,0.0101
u_00477,control,0,0.0175
u_00478,control,0,0.0286
u_00479,control,0,0.0024
u_00480,control,0,0.0037
u_00481,control,0,0.0166
u_00482,control,0,0.0003
u_00483,control,1,0.0076
u_00484,control,0,0.0138
u_00485,control,0,0.0151
u_00486,control,0,0.0165
u_00487,control,0,0.0235
u_00488,control,0,0.0328
u_00489,control,0,0.0044
u_00490,control,0,0.0186
u_00491,control,0,0.0145
u_00492,control,0,0.0843
u_00493,control,0,0.0037
u_00494,control,0,0.0195
u_00495,control,0,0.0179
u_00496,control,0,0.0167
u_00497,control,0,0.0015
u_00498,control,0,0.013
u_00499,control,0,0.0196
u_00500,control,0,0.03
u_00501,control,0,0.0091
u_00502,control,0,0.028
u_00503,control,0,0.0254
u_00504,control,0,0.0074
u_00505,control,0,0.0069
u_00506,control,0,0.0674
u_00507,control,0,0.0138
u_00508,control,0,0.03
u_00509,control,0,0.0214
u_00510,control,0,0.0268
u_00511,control,0,0.0346
u_00512,control,0,0.0203
u_00513,control,0,0.0558
u_00514,control,0,0.0172
u_00515,control,0,0.004
u_00516,control,0,0.0143
u_00517,control,0,0.0187
u_00518,control,0,0.0128
u_00519,control,0,0.0074
u_00520,control,0,0.0127
u_00521,control,0,0.0155
u_00522,control,0,0.0276
u_00523,control,0,0.0178
u_00524,control,0,0.0248
u_00525,control,0,0.0162
u_00526,control,0,0.0313
u_00527,control,1,0.0343
u_00528,control,0,0.0124
u_00529,control,0,0.0166
u_00530,control,0,0.0348
u_00531,control,0,0.0111
u_00532,control,0,0.0206
u_00533,control,0,0.0078
u_00534,control,0,0.0216
u_00535,control,0,0.0361
u_00536,control,0,0.0431
u_00537,control,0,0.0249
u_00538,control,0,0.0147
u_00539,control,0,0.007
u_00540,control,0,0.0143
u_00541,control,0,0.0269
u_00542,control,0,0.0407
u_00543,control,0,0.0345
u_00544,control,0,0.0124
u_00545,control,0,0.0091
u_00546,control,0,0.0301
u_00547,control,0,0.0218
u_00548,control,0,0.0328
u_00549,control,0,0.0102
u_00550,control,0,0.0468
u_00551,control,0,0.0258
u_00552,control,0,0.0241
u_00553,control,0,0.0131
u_00554,control,0,0.0341
u_00555,control,0,0.0107
u_00556,control,1,0.01
u_00557,control,0,0.0149
u_00558,control,0,0.0211
u_00559,control,0,0.0177
u_00560,control,0,0.0165
u_00561,control,0,0.0085
u_00562,control,0,0.0281
u_00563,control,0,0.0049
u_00564,control,0,0.039
u_00565,control,0,0.0467
u_00566,control,0,0.0166
u_00567,control,0,0.0082
u_00568,control,0,0.0024
u_00569,control,0,0.0283
u_00570,control,0,0.0157
u_00571,control,0,0.0079
u_00572,control,0,0.01
u_00573,control,0,0.0205
u_00574,control,0,0.0016
u_00575,control,0,0.0297
u_00576,control,0,0.0265
u_00577,control,0,0.0096
u_00578,control,0,0.0137
u_00579,control,0,0.0193
u_00580,control,0,0.0362
u_00581,control,0,0.0392
u_00582,control,0,0.0036
u_00583,control,0,0.0149
u_00584,control,0,0.0132
u_00585,control,0,0.0382
u_00586,control,0,0.0172
u_00587,control,1,0.0048
u_00588,control,0,0.0089
u_00589,control,0,0.0058
u_00590,control,0,0.0424
u_00591,control,0,0.0157
u_00592,control,0,0.016
u_00593,control,0,0.0376
u_00594,control,0,0.0134
u_00595,control,0,0.009
u_00596,control,0,0.0099
u_00597,control,0,0.0165
u_00598,control,0,0.0096
u_00599,control,0,0.0248
u_00600,control,0,0.0289
u_00601,control,0,0.0204
u_00602,control,0,0.0098
u_00603,control,0,0.01
u_00604,control,0,0.0316
u_00605,control,0,0.0195
u_00606,control,0,0.0212
u_00607,control,0,0.0007
u_00608,control,0,0.0115
u_00609,control,0,0.0197
u_00610,control,0,0.0114
u_00611,control,0,0.0098
u_00612,control,0,0.025
u_00613,control,0,0.048
u_00614,control,0,0.0171
u_00615,control,0,0.0447
u_00616,control,0,0.0229
u_00617,control,0,0.0038
u_00618,control,0,0.0097
u_00619,control,0,0.0272
u_00620,control,0,0.0351
u_00621,control,0,0.0077
u_00622,control,0,0.0045
u_00623,control,0,0.0271
u_00624,control,0,0.0203
u_00625,control,0,0.0174
u_00626,control,0,0.0433
u_00627,control,0,0.0132
u_00628,control,0,0.0053
u_00629,control,0,0.0009
u_00630,control,0,0.0168
u_00631,control,0,0.0193
u_00632,control,0,0.0242
u_00633,control,0,0.0314
u_00634,control,0,0.0156
u_00635,control,0,0.0094
u_00636,control,0,0.0407
u_00637,control,0,0.0281
u_00638,control,0,0.0502
u_00639,control,0,0.0162
u_00640,control,0,0.006
u_00641,control,0,0.016
u_00642,control,0,0.0428
u_00643,control,0,0.006
u_00644,control,0,0.0062
u_00645,control,0,0.0076
u_00646,control,0,0.0072
u_00647,control,0,0.0264
u_00648,control,0,0.0144
u_00649,control,1,0.0233
u_00650,control,0,0.0194
u_00651,control,0,0.0099
u_00652,control,0,0.0251
u_00653,control,0,0.0325
u_00654,control,0,0.0085
u_00655,control,0,0.0249
u_00656,control,0,0.0065
u_00657,control,0,0.037
u_00658,control,0,0.0098
u_00659,control,0,0.0097
u_00660,control,0,0.0328
u_00661,control,0,0.0029
u_00662,control,0,0.0207
u_00663,control,0,0.0079
u_00664,control,0,0.0084
u_00665,control,0,0.0452
u_00666,control,0,0.0327
u_00667,control,0,0.0388
u_00668,control,0,0.011
u_00669,control,0,0.0183
u_00670,control,0,0.0364
u_00671,control,0,0.0174
u_00672,control,0,0.0094
u_00673,control,0,0.0142
u_00674,control,0,0.0317
u_00675,control,0,0.0082
u_00676,control,0,0.0425
u_00677,control,0,0.0231
u_00678,control,0,0.0013
u_00679,control,0,0.0168
u_00680,control,0,0.0251
u_00681,control,0,0.0187
u_00682,control,0,0.0542
u_00683,control,0,0.0087
u_00684,control,0,0.0186
u_00685,control,0,0.0048
u_00686,control,0,0.0443
u_00687,control,0,0.0128
u_00688,control,0,0.0399
u_00689,control,1,0.0306
u_00690,control,0,0.0107
u_00691,control,0,0.004
u_00692,control,0,0.0133
u_00693,control,0,0.0245
u_00694,control,0,0.0179
u_00695,control,0,0.0318
u_00696,control,0,0.0055
u_00697,control,0,0.0067
u_00698,control,0,0.018
u_00699,control,0,0.0237
u_00700,control,0,0.0071
u_00701,control,0,0.0055
u_00702,control,0,0.0381
u_00703,control,0,0.0234
u_00704,control,0,0.0346
u_00705,control,0,0.0221
u_00706,control,0,0.0258
u_00707,control,0,0.022
u_00708,control,0,0.0169
u_00709,control,0,0.0138
u_00710,control,0,0.0269
u_00711,control,0,0.0242
u_00712,control,0,0.0112
u_00713,control,0,0.0347
u_00714,control,0,0.0449
u_00715,control,0,0.0023
u_00716,control,0,0.0546
u_00717,control,0,0.0197
u_00718,control,0,0.0179
u_00719,control,0,0.0078
u_00720,control,0,0.0184
u_00721,control,0,0.0082
u_00722,control,0,0.006
u_00723,control,0,0.0583
u_00724,control,0,0.0616
u_00725,control,0,0.0123
u_00726,control,0,0.0062
u_00727,control,0,0.0072
u_00728,control,0,0.03
u_00729,control,0,0.0194
u_00730,control,0,0.0167
u_00731,control,0,0.0149
u_00732,control,0,0.023
u_00733,control,0,0.0112
u_00734,control,0,0.0126
u_00735,control,0,0.0533
u_00736,control,0,0.0133
u_00737,control,0,0.0066
u_00738,control,0,0.006
u_00739,control,0,0.0332
u_00740,control,0,0.0209
u_00741,control,1,0.0271
u_00742,control,0,0.0168
u_00743,control,0,0.035
u_00744,control,0,0.016
u_00745,control,0,0.0061
u_00746,control,0,0.0146
u_00747,control,0,0.0182
u_00748,control,0,0.0168
u_00749,control,0,0.0108
u_00750,control,0,0.0004
u_00751,control,0,0.0132
u_00752,control,0,0.0209
u_00753,control,0,0.0199
u_00754,control,0,0.0219
u_00755,control,0,0.0376
u_00756,control,0,0.0113
u_00757,control,0,0.0091
u_00758,control,0,0.0037
u_00759,control,0,0.0069
u_00760,control,0,0.0146
u_00761,control,0,0.026
u_00762,control,0,0.0095
u_00763,control,0,0.0023
u_00764,control,0,0.0193
u_00765,control,0,0.024
u_00766,control,0,0.0398
u_00767,control,0,0.0327
u_00768,control,0,0.0184
u_00769,control,0,0.0369
u_00770,control,0,0.023
u_00771,control,0,0.0187
u_00772,control,0,0.0022
u_00773,control,0,0.009
u_00774,control,0,0.0099
u_00775,control,0,0.0016
u_00776,control,0,0.0183
u_00777,control,0,0.0204
u_00778,control,0,0.0356
u_00779,control,0,0.0426
u_00780,control,0,0.0385
u_00781,control,0,0.0148
u_00782,control,0,0.0247
u_00783,control,1,0.0196
u_00784,control,0,0.0095
u_00785,control,0,0.0021
u_00786,control,0,0.023
u_00787,control,0,0.1063
u_00788,control,0,0.0233
u_00789,control,0,0.0483
u_00790,control,0,0.0101
u_00791,control,0,0.0153
u_00792,control,0,0.0444
u_00793,control,0,0.0197
u_00794,control,0,0.0261
u_00795,control,0,0.0231
u_00796,control,0,0.0156
u_00797,control,0,0.0126
u_00798,control,0,0.0245
u_00799,control,0,0.0157
u_00800,control,1,0.0059
u_00801,control,0,0.015
u_00802,control,0,0.0196
u_00803,control,0,0.0118
u_00804,control,0,0.0129
u_00805,control,0,0.0255
u_00806,control,1,0.0054
u_00807,control,0,0.0138
u_00808,control,0,0.0195
u_00809,control,0,0.0367
u_00810,control,0,0.0185
u_00811,control,0,0.021
u_00812,control,0,0.02
u_00813,control,0,0.0144
u_00814,control,0,0.0042
u_00815,control,0,0.0132
u_00816,control,0,0.0183
u_00817,control,0,0.014
u_00818,control,0,0.0334
u_00819,control,0,0.0262
u_00820,control,0,0.0483
u_00821,control,0,0.0424
u_00822,control,0,0.0023
u_00823,control,0,0.0086
u_00824,control,0,0.0131
u_00825,control,0,0.0192
u_00826,control,0,0.0117
u_00827,control,0,0.0225
u_00828,control,0,0.0096
u_00829,control,0,0.0113
u_00830,control,0,0.0084
u_00831,control,0,0.0731
u_00832,control,0,0.0818
u_00833,control,0,0.04
u_00834,control,0,0.0269
u_00835,control,0,0.0182
u_00836,control,0,0.0259
u_00837,control,0,0.0308
u_00838,control,0,0.0231
u_00839,control,0,0.0239
u_00840,control,0,0.0115
u_00841,control,0,0.0356
u_00842,control,0,0.0107
u_00843,control,0,0.0075
u_00844,control,0,0.0157
u_00845,control,0,0.0052
u_00846,control,0,0.0181
u_00847,control,0,0.0092
u_00848,control,0,0.0018
u_00849,control,0,0.0121
u_00850,control,1,0.0178
u_00851,control,0,0.0086
u_00852,control,0,0.0373
u_00853,control,0,0.0054
u_00854,control,1,0.0101
u_00855,control,0,0.0278
u_00856,control,0,0.0121
u_00857,control,1,0.0034
u_00858,control,0,0.0159
u_00859,control,0,0.02
u_00860,control,0,0.0247
u_00861,control,0,0.0339
u_00862,control,0,0.006
u_00863,control,0,0.0478
u_00864,control,0,0.0112
u_00865,control,0,0.0272
u_00866,control,0,0.0068
u_00867,control,0,0.055
u_00868,control,0,0.0058
u_00869,control,0,0.015
u_00870,control,0,0.0127
u_00871,control,0,0.0496
u_00872,control,0,0.0232
u_00873,control,0,0.0326
u_00874,control,0,0.0433
u_00875,control,0,0.0126
u_00876,control,0,0.0131
u_00877,control,0,0.0081
u_00878,control,0,0.0069
u_00879,control,1,0.0157
u_00880,control,0,0.0366
u_00881,control,0,0.0006
u_00882,control,0,0.0128
u_00883,control,0,0.0096
u_00884,control,0,0.0133
u_00885,control,0,0.0022
u_00886,control,0,0.0112
u_00887,control,0,0.0078
u_00888,control,0,0.0245
u_00889,control,0,0.0105
u_00890,control,0,0.0009
u_00891,control,0,0.0083
u_00892,control,0,0.0091
u_00893,control,0,0.0146
u_00894,control,0,0.0491
u_00895,control,0,0.0071
u_00896,control,0,0.0199
u_00897,control,0,0.0201
u_00898,control,0,0.0281
u_00899,control,0,0.0263
u_00900,control,0,0.0254
u_00901,control,0,0.042
u_00902,control,0,0.0328
u_00903,control,0,0.0214
u_00904,control,0,0.015
u_00905,control,0,0.024
u_00906,control,0,0.0066
u_00907,control,0,0.0367
u_00908,control,0,0.0125
u_00909,control,0,0.0076
u_00910,control,0,0.0175
u_00911,control,0,0.0122
u_00912,control,0,0.0432
u_00913,control,0,0.0218
u_00914,control,0,0.0112
u_00915,control,0,0.0099
u_00916,control,0,0.0191
u_00917,control,1,0.0142
u_00918,control,0,0.0182
u_00919,control,0,0.0163
u_00920,control,0,0.0265
u_00921,control,0,0.0159
u_00922,control,0,0.0016
u_00923,control,0,0.0055
u_00924,control,0,0.0233
u_00925,control,0,0.0085
u_00926,control,0,0.0272
u_00927,control,0,0.014
u_00928,control,0,0.0101
u_00929,control,0,0.0114
u_00930,control,0,0.0124
u_00931,control,0,0.0123
u_00932,control,0,0.0186
u_00933,control,0,0.0086
u_00934,control,0,0.0095
u_00935,control,0,0.0013
u_00936,control,1,0.0059
u_00937,control,0,0.0122
u_00938,control,0,0.0299
u_00939,control,0,0.0078
u_00940,control,0,0.055
u_00941,control,0,0.0117
u_00942,control,0,0.0267
u_00943,control,0,0.0044
u_00944,control,0,0.0057
u_00945,control,0,0.0036
u_00946,control,0,0.0511
u_00947,control,0,0.0353
u_00948,control,0,0.0279
u_00949,control,0,0.0016
u_00950,control,0,0.0103
u_00951,control,0,0.0117
u_00952,control,0,0.0125
u_00953,control,0,0.0087
u_00954,control,0,0.0141
u_00955,control,0,0.0244
u_00956,control,0,0.0065
u_00957,control,1,0.036
u_00958,control,0,0.0168
u_00959,control,0,0.0086
u_00960,control,0,0.0253
u_00961,control,0,0.0162
u_00962,control,0,0.0009
u_00963,control,0,0.007
u_00964,control,0,0.008
u_00965,control,0,0.0078
u_00966,control,0,0.0026
u_00967,control,0,0.0027
u_00968,control,0,0.0014
u_00969,control,0,0.0155
u_00970,control,0,0.0045
u_00971,control,0,0.0324
u_00972,control,1,0.0317
u_00973,control,0,0.0124
u_00974,control,0,0.0043
u_00975,control,0,0.03
u_00976,control,0,0.0072
u_00977,control,0,0.0286
u_00978,control,0,0.0279
u_00979,control,0,0.0254
u_00980,control,0,0.0152
u_00981,control,0,0.0081
u_00982,control,0,0.0094
u_00983,control,0,0.0027
u_00984,control,0,0.0076
u_00985,control,0,0.0329
u_00986,control,0,0.0034
u_00987,control,0,0.0061
u_00988,control,0,0.0419
u_00989,control,0,0.0441
u_00990,control,0,0.0072
u_00991,control,0,0.0237
u_00992,control,0,0.0275
u_00993,control,1,0.0195
u_00994,control,1,0.0352
u_00995,control,0,0.0092
u_00996,control,0,0.0297
u_00997,control,0,0.0341
u_00998,control,1,0.0151
u_00999,control,0,0.0065
u_01000,control,0,0.0065
u_01001,control,0,0.0297
u_01002,control,0,0.0127
u_01003,control,0,0.0234
u_01004,control,0,0.0114
